
> arontec-scm-frontend@0.1.0 dev
> vite


  VITE v5.4.21  ready in 440 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
  ➜  press h + enter to show help
12:40:27 PM [vite] hmr update /src/pages/admin/Dashboard.jsx
12:40:29 PM [vite] hmr update /src/pages/admin/Products.jsx
12:40:29 PM [vite] hmr update /src/pages/admin/Products.jsx
5:03:50 PM [vite] hmr update /src/pages/Catalog.jsx
5:04:34 PM [vite] hmr update /src/pages/Cart.jsx
5:36:30 PM [vite] hmr update /src/pages/admin/Products.jsx
5:37:16 PM [vite] hmr update /src/pages/admin/Products.jsx
5:37:21 PM [vite] hmr update /src/pages/admin/Products.jsx
5:37:32 PM [vite] hmr update /src/pages/Catalog.jsx
5:44:22 PM [vite] hmr update /src/pages/Catalog.jsx
5:44:27 PM [vite] hmr update /src/pages/Catalog.jsx
5:51:12 PM [vite] hmr update /src/App.jsx
5:51:16 PM [vite] hmr update /src/pages/Catalog.jsx
5:54:01 PM [vite] hmr update /src/App.jsx
5:57:10 PM [vite] hmr update /src/pages/admin/Products.jsx
5:57:50 PM [vite] hmr update /src/pages/admin/Products.jsx
6:12:51 PM [vite] hmr update /src/pages/admin/Products.jsx
6:14:46 PM [vite] hmr update /src/pages/admin/Products.jsx
6:15:46 PM [vite] hmr update /src/pages/admin/Products.jsx
8:34:28 PM [vite] hmr update /src/pages/Catalog.jsx
8:34:30 PM [vite] hmr update /src/pages/Catalog.jsx
8:34:32 PM [vite] hmr update /src/pages/Catalog.jsx
8:35:04 PM [vite] hmr update /src/pages/Catalog.jsx
8:36:12 PM [vite] hmr update /src/pages/Catalog.jsx
8:36:16 PM [vite] hmr update /src/pages/Catalog.jsx
8:38:23 PM [vite] page reload src/config.js
8:38:34 PM [vite] page reload src/main.jsx
8:38:34 PM [vite] hmr update /src/App.jsx
8:38:34 PM [vite] hmr update /src/pages/ProductDetail.jsx
8:38:34 PM [vite] hmr update /src/pages/admin/Products.jsx
8:38:34 PM [vite] hmr update /src/pages/admin/Quotes.jsx
8:38:34 PM [vite] hmr update /src/pages/admin/Dashboard.jsx
8:38:34 PM [vite] hmr update /src/pages/admin/Members.jsx
8:38:34 PM [vite] hmr update /src/pages/Catalog.jsx
8:38:34 PM [vite] hmr update /src/pages/Dashboard.jsx
8:38:34 PM [vite] hmr update /src/pages/Login.jsx
8:38:34 PM [vite] hmr update /src/pages/MyPage.jsx
8:38:34 PM [vite] hmr update /src/pages/Cart.jsx
8:38:34 PM [vite] hmr update /src/pages/QuoteRequest.jsx
8:38:34 PM [vite] hmr update /src/pages/Register.jsx
8:38:41 PM [vite] hmr update /src/pages/Dashboard.jsx
8:38:41 PM [vite] hmr update /src/pages/Register.jsx
8:38:41 PM [vite] hmr update /src/pages/admin/Dashboard.jsx
8:38:41 PM [vite] hmr update /src/pages/QuoteRequest.jsx
8:38:41 PM [vite] hmr update /src/pages/MyPage.jsx
8:38:41 PM [vite] hmr update /src/pages/Login.jsx
8:38:41 PM [vite] hmr update /src/pages/admin/Products.jsx
8:38:41 PM [vite] page reload src/main.jsx
8:38:41 PM [vite] hmr update /src/pages/Cart.jsx
8:38:41 PM [vite] hmr update /src/pages/Catalog.jsx
8:38:41 PM [vite] hmr update /src/pages/admin/Members.jsx
8:38:41 PM [vite] hmr update /src/App.jsx
8:38:41 PM [vite] hmr update /src/pages/ProductDetail.jsx
11:19:36 PM [vite] hmr update /src/App.jsx
11:19:41 PM [vite] hmr update /src/pages/Login.jsx
11:19:47 PM [vite] hmr update /src/pages/Login.jsx
11:19:49 PM [vite] hmr update /src/pages/Dashboard.jsx
11:19:49 PM [vite] hmr update /src/pages/Dashboard.jsx
11:20:38 PM [vite] hmr update /src/pages/Catalog.jsx
11:20:42 PM [vite] hmr update /src/pages/Cart.jsx
11:20:47 PM [vite] hmr update /src/pages/Cart.jsx
11:21:14 PM [vite] hmr update /src/pages/ProductDetail.jsx
11:21:19 PM [vite] hmr update /src/pages/ProductDetail.jsx
11:21:20 PM [vite] hmr update /src/pages/QuoteRequest.jsx
11:21:20 PM [vite] hmr update /src/pages/QuoteRequest.jsx
11:21:25 PM [vite] hmr update /src/pages/MyPage.jsx
11:21:25 PM [vite] hmr update /src/pages/MyPage.jsx
11:21:30 PM [vite] hmr update /src/pages/Register.jsx
11:21:56 PM [vite] hmr update /src/pages/admin/Dashboard.jsx
11:22:04 PM [vite] hmr update /src/pages/admin/Members.jsx
11:22:10 PM [vite] hmr update /src/pages/admin/Quotes.jsx
11:22:10 PM [vite] hmr update /src/pages/admin/Quotes.jsx
11:22:37 PM [vite] hmr update /src/pages/admin/Products.jsx
11:33:13 PM [vite] hmr update /src/pages/Dashboard.jsx
11:33:19 PM [vite] hmr update /src/pages/Dashboard.jsx
11:47:29 PM [vite] hmr update /src/pages/admin/Products.jsx
12:06:00 AM [vite] hmr update /src/pages/Catalog.jsx
1:10:40 AM [vite] hmr update /src/pages/admin/Products.jsx
1:10:47 AM [vite] hmr update /src/pages/admin/Products.jsx
1:21:16 AM [vite] hmr update /src/pages/Catalog.jsx
1:27:19 AM [vite] hmr update /src/pages/MyPage.jsx
